x,y
0.734940,0.448276
0.734940,0.482759
0.734940,0.586207
0.734940,0.620690
0.740964,0.344828
0.740964,0.448276
0.740964,0.517241
0.740964,0.551724
0.740964,0.586207
0.740964,0.655172
0.746988,0.379310
0.746988,0.413793
0.746988,0.448276
0.746988,0.517241
0.746988,0.551724
0.746988,0.620690
0.746988,0.689655
0.753012,0.344828
0.753012,0.379310
0.753012,0.413793
0.753012,0.448276
0.753012,0.517241
0.753012,0.586207
0.753012,0.620690
0.753012,0.655172
0.753012,0.689655
0.759036,0.379310
0.759036,0.413793
0.759036,0.448276
0.759036,0.482759
0.759036,0.517241
0.759036,0.586207
0.759036,0.620690
0.759036,0.655172
0.759036,0.689655
0.765060,0.379310
0.765060,0.413793
0.765060,0.482759
0.765060,0.517241
0.765060,0.586207
0.765060,0.620690
0.765060,0.655172
0.771084,0.448276
0.771084,0.517241
0.771084,0.689655
0.777108,0.413793
0.777108,0.482759
0.777108,0.517241
0.777108,0.551724
0.777108,0.620690
0.777108,0.655172
0.777108,0.724138
0.783133,0.413793
0.783133,0.551724
0.783133,0.586207
0.783133,0.689655
0.789157,0.448276
0.789157,0.517241
0.789157,0.586207
0.789157,0.620690
0.789157,0.724138
0.795181,0.482759
0.795181,0.517241
0.795181,0.551724
0.795181,0.620690
0.795181,0.655172
0.795181,0.689655
0.795181,0.724138
0.795181,0.758621
0.801205,0.551724
0.801205,0.586207
0.801205,0.758621
0.807229,0.482759
0.807229,0.517241
0.807229,0.586207
0.807229,0.620690
0.807229,0.655172
0.807229,0.724138
0.813253,0.551724
0.813253,0.586207
0.813253,0.620690
0.813253,0.655172
0.813253,0.689655
0.813253,0.724138
0.819277,0.517241
0.819277,0.551724
0.819277,0.586207
0.819277,0.620690
0.819277,0.724138
0.825301,0.551724
0.825301,0.620690
0.825301,0.689655
0.825301,0.724138
0.831325,0.551724
0.831325,0.586207
0.831325,0.620690
0.831325,0.724138
0.831325,0.758621
0.837349,0.586207
0.837349,0.620690
0.837349,0.689655
0.837349,0.758621
0.843373,0.551724
0.843373,0.620690
0.843373,0.655172
0.843373,0.689655
0.843373,0.793103
0.849398,0.586207
0.849398,0.620690
0.849398,0.724138
0.855422,0.586207
0.855422,0.620690
0.855422,0.689655
0.855422,0.758621
0.861446,0.620690
0.861446,0.724138
0.861446,0.793103
0.867470,0.586207
0.867470,0.620690
0.867470,0.655172
0.867470,0.724138
0.867470,0.758621
0.873494,0.620690
0.873494,0.655172
0.873494,0.724138
0.873494,0.793103
0.879518,0.620690
0.879518,0.655172
0.879518,0.758621
0.885542,0.620690
0.885542,0.655172
0.885542,0.724138
0.885542,0.758621
0.891566,0.689655
0.891566,0.758621
0.897590,0.620690
0.897590,0.689655
0.903614,0.620690
0.903614,0.689655
0.903614,0.724138
0.909639,0.620690
0.909639,0.689655
0.909639,0.758621
0.915663,0.655172
0.915663,0.689655
0.915663,0.758621
0.921687,0.620690
0.921687,0.655172
0.921687,0.724138
0.927711,0.620690
0.927711,0.689655
0.927711,0.724138
0.933735,0.655172
0.933735,0.724138
0.939759,0.620690
0.939759,0.689655
0.939759,0.724138
0.945783,0.137931
0.945783,0.586207
0.945783,0.655172
0.951807,0.586207
0.951807,0.620690
0.951807,0.655172
0.951807,0.689655
0.957831,0.137931
0.957831,0.620690
0.957831,0.689655
0.963855,0.137931
0.963855,0.172414
0.963855,0.551724
0.963855,0.586207
0.963855,0.620690
0.963855,0.655172
0.969880,0.137931
0.969880,0.206897
0.969880,0.517241
0.969880,0.655172
0.975904,0.172414
0.975904,0.206897
0.975904,0.275862
0.975904,0.448276
0.975904,0.551724
0.975904,0.620690
0.981928,0.241379
0.981928,0.310345
0.981928,0.344828
0.981928,0.379310
0.981928,0.482759
0.981928,0.517241
0.981928,0.586207
0.987952,0.275862
0.987952,0.310345
0.987952,0.379310
0.987952,0.413793
0.987952,0.448276
0.987952,0.551724
0.993976,0.310345
0.993976,0.344828
0.993976,0.448276
